prefix,function,expansion
"['mul', 's+', '6', 'pow', 'x', 's+', '2']",6*x**2,6*x**2
"['add', 'x', 'pow', 'x', 's+', '2']",x**2 + x,x**2 + x
"['add', 'pow', 'x', 's+', '3', 'mul', 's-', '2', 'pow', 'x', 's+', '2']",x**3 - 2*x**2,x**3 - 2*x**2
"['tan', 'x']",tan(x),x**3/3 + x
"['add', 'pow', 'pow', 'sin', 'x', 'mul', 's+', '5', 'pow', 's+', '2', 's-', '1', 'x', 'tan', 's+', '1']",(sin(x)**(5/2))**x + tan(1),1 + tan(1)
"['add', 'mul', 's+', '3', 'x', 'mul', 'pow', 'x', 's+', '3', 'pow', 'cos', 'x', 's-', '1']",x**3/cos(x) + 3*x,x**3 + 3*x
"['mul', 'pow', 'x', 's+', '3', 'pow', 'acos', 'x', 's-', '2']",x**3/acos(x)**2,16*x**4/pi**3 + 4*x**3/pi**2
"['asin', 'x']",asin(x),x**3/6 + x
"['add', 'pow', 'tan', 'x', 's+', '2', 'mul', 's+', '4', 'x']",4*x + tan(x)**2,2*x**4/3 + x**2 + 4*x
"['pow', 'x', 's+', '3']",x**3,x**3
"['pow', 'x', 's+', '3']",x**3,x**3
"['tan', 'pow', 'add', 's+', '1', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",tan(sqrt(x + 1)),x**4*(1/16 + tan(1)**2/16)*(-36*tan(1)**2 - 27 + 8*tan(1)**3 + 30*tan(1) + 16*(1 + tan(1)**2)*tan(1))/24 + x**3*(1 + tan(1)**2)*(-6*tan(1) + 5 + 6*tan(1)**2)/48 + x**2*(-1 + 2*tan(1))*(1 + tan(1)**2)/8 + x*(1/2 + tan(1)**2/2) + tan(1)
"['acot', 'add', 'pow', 'x', 's+', '6', 'mul', 's-', '1', 'x']",acot(x**6 - x),-x**3/3 + x + pi/2
"['pow', 'x', 's+', '2']",x**2,x**2
"['mul', 's-', '1', 'mul', 'x', 'tan', 'x']",-x*tan(x),-x**4/3 - x**2
"['pow', 'cos', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",sqrt(cos(x)),-x**4/96 - x**2/4 + 1
"['add', 'mul', 's-', '1', 'x', 'mul', 's-', '1', 'pow', 'x', 's+', '3']",-x**3 - x,-x**3 - x
"['mul', 'x', 'exp', 'x']",x*exp(x),x**4/6 + x**3/2 + x**2 + x
"['add', 'pow', 'mul', 'pow', 'x', 's+', '2', 'exp', 'mul', 's+', '2', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'acot', 'x']",sqrt(x**2*exp(2*x)) + acot(x),pi/2
"['tan', 'add', 'pow', 'x', 's+', '3', 'pow', 'x', 's+', '5']",tan(x**5 + x**3),x**3
"['add', 'x', 'mul', 'x', 'acot', 'x']",x*acot(x) + x,x**4/3 - x**2 + x*(1 + pi/2)
"['add', 'x', 'add', 'pow', 'acot', 'x', 's+', '3', 'asin', 'x']",x + acot(x)**3 + asin(x),-pi*x**4 + x**3*(-5 + 3*pi**2/2)/6 + 3*pi*x**2/2 + x*(2 - 3*pi**2/4) + pi**3/8
"['mul', 'exp', 'pow', 'x', 's+', '2', 'exp', 'pow', 'x', 's+', '7']",exp(x**2)*exp(x**7),x**4/2 + x**2 + 1
"['mul', 's+', '3', 'x']",3*x,3*x
"['pow', 'x', 's+', '2']",x**2,x**2
"['sin', 'mul', 'exp', 'pow', 'x', 's+', '2', 'exp', 'pow', 'acos', 'pow', 'x', 's+', '2', 's+', '4']",sin(exp(x**2)*exp(acos(x**2)**4)),x**4*(-3*(-1 + pi**3/2)**2*exp(pi**4/16)*sin(exp(pi**4/16)) - (-3*pi**6/4 - 9*pi**2 - 3 + 3*pi**3)*cos(exp(pi**4/16)))*exp(pi**4/16)/6 - x**2*(-1 + pi**3/2)*exp(pi**4/16)*cos(exp(pi**4/16)) + sin(exp(pi**4/16))
"['add', 'x', 'mul', 's-', '1', 'mul', 'x', 'sin', 'x']",-x*sin(x) + x,x**4/6 - x**2 + x
"['mul', 's-', '1', 'tan', 'add', 's-', '1', 'pow', 'x', 's+', '3']",-tan(x**3 - 1),x**3*(-6*tan(1)**2 - 6)/6 + tan(1)
"['pow', 'x', 's+', '2']",x**2,x**2
"['add', 'pow', 'x', 's+', '2', 'add', 'pow', 'x', 's+', '3', 'mul', 's-', '1', 'pow', 'x', 's+', '4']",-x**4 + x**3 + x**2,-x**4 + x**3 + x**2
